id,bin15,bin5,historicalspeed,Location,Vehicles,currentspeed,dow,fromnodeid,navteqid,tonodeid,obstime,Signal_duration,,,,
343155978,1,3,668,Palm_Jumeirah,Two-Wheelers,37,6,1,1,0,115638.29,0,,,,
343155979,1,3,506,Bur_Dubai,Two-Wheelers,41,1,2,1,0,31766.3,0,,,,
343155980,1,3,524,Palm_Jumeirah,Two-Wheelers,31,8,1,1,0,199725.39,1,,,,
343155981,1,3,699,Palm_Jumeirah,Cars/Trucks,34,4,2,1,0,120834.48,0,,,,
343155982,1,3,828,Bur_Dubai,Cars/Trucks,34,8,2,0,0,38131.77,0,,,,
343155983,1,3,674,Al_Sayed_Road,Cars/Trucks,39,6,1,0,0,100130.95,0,,,,
343155984,1,3,656,Bur_Dubai,Two-Wheelers,39,6,2,1,0,141069.88,0,,,,
343155985,1,3,684,Palm_Jumeirah,Two-Wheelers,48,10,1,1,1,198129.36,0,,,,
343155986,1,3,625,Bur_Dubai,Two-Wheelers,28,3,1,0,0,183646.41,0,,,,
343155987,1,3,432,Bur_Dubai,Cars/Trucks,42,9,1,1,0,110265.24,1,,,,
343155988,1,3,549,Bur_Dubai,Two-Wheelers,52,1,1,0,1,8636.05,1,,,,
343155989,1,3,625,Palm_Jumeirah,Cars/Trucks,56,0,1,1,0,46824.08,1,,,,
343155990,1,3,828,Bur_Dubai,Two-Wheelers,41,7,2,1,0,171378.77,0,,,,
343155991,1,3,770,Bur_Dubai,Cars/Trucks,24,9,1,1,0,167256.35,0,,,,
343155992,1,3,758,Bur_Dubai,Two-Wheelers,34,3,2,1,1,124226.16,0,,,,
343155993,1,3,795,Palm_Jumeirah,Two-Wheelers,33,9,1,1,1,114935.21,0,,,,
343155994,1,3,687,Bur_Dubai,Cars/Trucks,38,9,1,1,1,35608.88,0,,,,
343155995,1,3,686,Bur_Dubai,Cars/Trucks,25,1,2,0,1,16459.37,0,,,,
343155996,1,3,789,Palm_Jumeirah,Cars/Trucks,39,7,2,1,1,124411.08,0,,,,
343155997,1,3,589,Palm_Jumeirah,Two-Wheelers,50,5,2,1,1,34941.23,0,,,,
343155998,1,3,461,Palm_Jumeirah,Two-Wheelers,34,5,1,0,1,167784.28,0,,,,
343155999,1,3,637,Bur_Dubai,Cars/Trucks,40,2,1,0,1,93165.34,0,,,,
343156000,1,3,584,Al_Sayed_Road,Two-Wheelers,48,2,1,1,0,75161.25,1,,,,
343156001,1,3,579,Al_Sayed_Road,Two-Wheelers,35,1,2,0,1,8590.83,1,,,,
343156002,1,3,756,Palm_Jumeirah,Cars/Trucks,44,10,1,1,0,189543.9,0,,,,
343156003,1,3,663,Bur_Dubai,Cars/Trucks,34,7,2,1,1,180427.24,0,,,,
343156004,1,3,682,Bur_Dubai,Two-Wheelers,43,5,1,1,1,193318.33,0,,,,
343156005,1,3,793,Al_Sayed_Road,Cars/Trucks,52,2,1,1,0,159123.82,1,,,,
343156006,1,3,691,Bur_Dubai,Two-Wheelers,31,5,1,1,0,126213.84,1,,,,
343156007,1,3,485,Al_Sayed_Road,Two-Wheelers,21,5,1,1,1,54141.5,0,,,,
343156008,1,3,635,Al_Sayed_Road,Two-Wheelers,29,8,2,1,0,141075.51,0,,,,
343156009,1,3,650,Bur_Dubai,Cars/Trucks,37,5,1,0,0,24495.03,0,,,,
343156010,1,3,735,Bur_Dubai,Cars/Trucks,44,9,1,1,0,74836.34,0,,,,
343156011,1,3,416,Bur_Dubai,Cars/Trucks,32,0,2,0,1,878.87,0,,,,
343156012,1,3,754,Al_Sayed_Road,Two-Wheelers,32,7,2,1,0,89520.75,0,,,,
343156013,1,3,535,Bur_Dubai,Two-Wheelers,48,9,1,1,0,149892.79,1,,,,
343156014,1,3,716,Al_Sayed_Road,Cars/Trucks,42,8,2,1,0,180800.42,0,,,,
343156015,1,3,539,Bur_Dubai,Cars/Trucks,37,2,1,1,0,98646.22,0,,,,
343156016,1,3,614,Bur_Dubai,Two-Wheelers,43,6,2,1,1,109041.53,0,,,,
343156017,1,3,706,Al_Sayed_Road,Cars/Trucks,57,7,1,1,0,17941.16,1,,,,
343156018,1,3,758,Bur_Dubai,Two-Wheelers,33,7,2,0,0,82996.47,0,,,,
343156019,1,3,586,Al_Sayed_Road,Two-Wheelers,28,2,2,1,1,92067.35,0,,,,
343156020,1,3,646,Bur_Dubai,Two-Wheelers,73,6,1,0,1,104719.66,0,,,,
343156021,1,3,631,Palm_Jumeirah,Two-Wheelers,33,4,1,0,0,112687.57,0,,,,
343156022,1,3,717,Al_Sayed_Road,Two-Wheelers,22,6,1,0,1,84699.56,0,,,,
343156023,1,3,684,Bur_Dubai,Cars/Trucks,30,2,2,1,0,83473.82,0,,,,
343156024,1,3,800,Bur_Dubai,Two-Wheelers,49,7,1,0,0,47125.11,0,,,,
343156025,1,3,721,Al_Sayed_Road,Two-Wheelers,36,2,2,1,1,106977.8,0,,,,
343156026,1,3,683,Al_Sayed_Road,Cars/Trucks,29,0,1,1,0,55582.54,1,,,,
343156027,1,3,660,Palm_Jumeirah,Cars/Trucks,31,9,2,1,1,139874.43,0,,,,
343156028,1,3,704,Palm_Jumeirah,Two-Wheelers,24,7,1,1,0,162503.48,1,,,,
343156029,1,3,615,Al_Sayed_Road,Two-Wheelers,41,9,1,1,0,196499.96,0,,,,
343156030,1,3,667,Al_Sayed_Road,Two-Wheelers,39,2,2,1,0,40721.24,1,,,,
343156031,1,3,682,Palm_Jumeirah,Cars/Trucks,24,9,2,0,0,53134.3,0,,,,
343156032,1,3,484,Bur_Dubai,Two-Wheelers,29,4,1,1,0,164017.89,0,,,,
343156033,1,3,628,Palm_Jumeirah,Cars/Trucks,27,5,2,1,0,155996.96,0,,,,
343156034,1,3,480,Palm_Jumeirah,Cars/Trucks,44,10,1,1,0,5472.7,1,,,,
343156035,1,3,578,Bur_Dubai,Cars/Trucks,30,4,1,1,0,112187.11,0,,,,
343156036,1,3,512,Bur_Dubai,Cars/Trucks,40,5,2,1,1,146457.83,0,,,,
343156037,1,3,484,Al_Sayed_Road,Two-Wheelers,35,7,1,1,1,27286.1,0,,,,
343156038,1,3,510,Bur_Dubai,Two-Wheelers,30,0,2,1,1,130553.47,0,,,,
343156039,1,3,606,Palm_Jumeirah,Cars/Trucks,36,5,2,0,0,179351.89,0,,,,
343156040,1,3,597,Al_Sayed_Road,Two-Wheelers,40,8,1,0,1,94774.12,0,,,,
343156041,1,3,754,Palm_Jumeirah,Two-Wheelers,55,3,1,1,0,8080.85,1,,,,
343156042,1,3,850,Al_Sayed_Road,Two-Wheelers,45,2,1,1,1,19482.5,0,,,,
343156043,1,3,510,Bur_Dubai,Cars/Trucks,65,2,2,1,1,48071.61,0,,,,
343156044,1,3,778,Palm_Jumeirah,Two-Wheelers,45,1,2,1,0,174531.27,0,,,,
343156045,1,3,636,Bur_Dubai,Cars/Trucks,42,2,2,1,1,55470.78,0,,,,
343156046,1,3,804,Bur_Dubai,Two-Wheelers,50,4,1,1,1,8546.87,1,,,,
343156047,1,3,514,Bur_Dubai,Cars/Trucks,32,8,2,1,0,95857.18,0,,,,
343156048,1,3,730,Bur_Dubai,Two-Wheelers,39,1,1,1,0,194945.8,0,,,,
343156049,1,3,525,Al_Sayed_Road,Two-Wheelers,37,0,1,0,1,131521.72,0,,,,
343156050,1,3,616,Al_Sayed_Road,Cars/Trucks,30,5,2,0,1,196108.51,0,,,,
343156051,1,3,687,Palm_Jumeirah,Two-Wheelers,34,7,2,1,0,148564.76,0,,,,
343156052,1,3,715,Bur_Dubai,Two-Wheelers,41,8,2,0,0,92982.61,1,,,,
343156053,1,3,512,Bur_Dubai,Two-Wheelers,36,3,2,1,0,17675.36,0,,,,
343156054,1,3,479,Bur_Dubai,Cars/Trucks,40,1,2,0,0,114996.43,0,,,,
343156055,1,3,601,Bur_Dubai,Cars/Trucks,32,8,1,1,0,86957.42,0,,,,
343156056,1,3,580,Al_Sayed_Road,Cars/Trucks,29,9,2,1,0,128077.8,0,,,,
343156057,1,3,807,Bur_Dubai,Cars/Trucks,35,3,1,1,1,600.36,0,,,,
343156058,1,3,616,Al_Sayed_Road,Two-Wheelers,32,6,2,1,1,43001.46,0,,,,
343156059,1,3,721,Palm_Jumeirah,Cars/Trucks,37,3,1,1,1,158591.12,0,,,,
343156060,1,3,501,Bur_Dubai,Cars/Trucks,57,10,2,1,1,47847.19,0,,,,
343156061,1,3,521,Bur_Dubai,Cars/Trucks,35,6,1,1,0,10488.44,0,,,,
343156062,1,3,850,Al_Sayed_Road,Cars/Trucks,30,2,1,1,1,5978.2,0,,,,
343156063,1,3,759,Bur_Dubai,Cars/Trucks,42,4,1,0,1,121409.06,0,,,,
343156064,1,3,516,Al_Sayed_Road,Cars/Trucks,50,5,1,0,1,146145.93,1,,,,
343156065,1,3,711,Bur_Dubai,Two-Wheelers,38,2,2,1,1,14374.86,1,,,,
343156066,1,3,512,Al_Sayed_Road,Cars/Trucks,33,3,1,1,0,94670.77,0,,,,
343156067,1,3,550,Bur_Dubai,Cars/Trucks,37,3,1,1,1,179670.31,0,,,,
343156068,1,3,608,Al_Sayed_Road,Two-Wheelers,41,3,1,0,0,199304.74,1,,,,
343156069,1,3,618,Bur_Dubai,Cars/Trucks,34,5,1,1,1,151954.39,0,,,,
343156070,1,3,643,Bur_Dubai,Cars/Trucks,45,5,1,1,0,142513.5,1,,,,
343156071,1,3,671,Bur_Dubai,Cars/Trucks,45,2,1,0,1,158264.62,0,,,,
343156072,1,3,689,Palm_Jumeirah,Cars/Trucks,33,2,2,1,0,169381.9,0,,,,
343156073,1,3,603,Bur_Dubai,Cars/Trucks,31,8,2,1,1,169915.02,0,,,,
343156074,1,3,620,Bur_Dubai,Two-Wheelers,41,9,2,0,0,88852.47,0,,,,
343156075,1,3,676,Bur_Dubai,Two-Wheelers,34,1,1,1,1,40645.81,0,,,,
343156076,1,3,572,Palm_Jumeirah,Cars/Trucks,26,4,2,0,0,60427.3,0,,,,
343156077,1,3,668,Palm_Jumeirah,Cars/Trucks,47,7,1,0,1,157959.02,1,,,,
343156078,1,3,695,Bur_Dubai,Cars/Trucks,46,7,1,1,0,133007.34,0,,,,
343156079,1,3,730,Al_Sayed_Road,Two-Wheelers,33,9,2,0,0,176576.62,0,,,,
343156080,1,3,807,Bur_Dubai,Cars/Trucks,43,1,2,1,0,34888.04,1,,,,
343156081,1,3,592,Bur_Dubai,Cars/Trucks,54,8,1,1,1,28737.71,1,,,,
343156082,1,3,726,Bur_Dubai,Two-Wheelers,31,9,2,1,1,98178.57,0,,,,
343156083,1,3,514,Al_Sayed_Road,Cars/Trucks,30,7,1,0,1,125010.24,0,,,,
343156084,1,3,567,Bur_Dubai,Cars/Trucks,42,2,2,1,1,167984.61,0,,,,
343156085,1,3,850,Bur_Dubai,Cars/Trucks,33,10,1,1,0,4861.72,1,,,,
343156086,1,3,671,Palm_Jumeirah,Cars/Trucks,45,6,1,1,1,108872.45,1,,,,
343156087,1,3,670,Bur_Dubai,Cars/Trucks,37,4,2,1,0,198252.88,0,,,,
343156088,1,3,694,Bur_Dubai,Two-Wheelers,30,9,2,1,1,26960.31,0,,,,
343156089,1,3,547,Palm_Jumeirah,Two-Wheelers,39,6,3,1,1,85746.52,1,,,,
343156090,1,3,751,Palm_Jumeirah,Cars/Trucks,50,2,1,1,0,77206.25,1,,,,
343156091,1,3,594,Palm_Jumeirah,Two-Wheelers,29,3,1,1,0,61048.53,0,,,,
343156092,1,3,673,Bur_Dubai,Cars/Trucks,72,1,2,0,1,111981.19,0,,,,
343156093,1,3,610,Bur_Dubai,Cars/Trucks,40,0,2,1,0,62232.6,0,,,,
343156094,1,3,512,Bur_Dubai,Two-Wheelers,37,1,2,0,1,156105.03,0,,,,
343156095,1,3,767,Palm_Jumeirah,Cars/Trucks,20,3,2,0,1,150135.38,0,,,,
343156096,1,3,585,Bur_Dubai,Two-Wheelers,67,5,2,0,1,93146.11,0,,,,
343156097,1,3,763,Palm_Jumeirah,Cars/Trucks,42,6,1,1,0,33462.94,1,,,,
343156098,1,3,712,Bur_Dubai,Two-Wheelers,29,2,1,1,1,144375,0,,,,
343156099,1,3,539,Palm_Jumeirah,Two-Wheelers,43,3,3,1,0,55803.96,1,,,,
343156100,1,3,668,Bur_Dubai,Two-Wheelers,46,2,3,1,0,89048.46,1,,,,
343156101,1,3,703,Bur_Dubai,Cars/Trucks,28,2,2,0,1,162812.16,0,,,,
343156102,1,3,662,Al_Sayed_Road,Cars/Trucks,38,4,2,1,0,136259.65,0,,,,
343156103,1,3,725,Palm_Jumeirah,Two-Wheelers,39,5,1,1,0,124052.97,0,,,,
343156104,1,3,703,Bur_Dubai,Cars/Trucks,37,8,2,0,1,74158.8,0,,,,
343156105,1,3,659,Palm_Jumeirah,Cars/Trucks,67,6,1,1,1,45071.09,1,,,,
343156106,1,3,523,Al_Sayed_Road,Cars/Trucks,34,7,2,1,0,62030.06,0,,,,
343156107,1,3,635,Bur_Dubai,Two-Wheelers,40,10,1,1,0,131953.23,1,,,,
343156108,1,3,772,Palm_Jumeirah,Cars/Trucks,26,7,2,1,0,79414,0,,,,
343156109,1,3,545,Bur_Dubai,Two-Wheelers,26,1,2,1,1,199638.56,0,,,,
343156110,1,3,634,Palm_Jumeirah,Cars/Trucks,24,8,1,1,1,157577.29,0,,,,
343156111,1,3,739,Palm_Jumeirah,Cars/Trucks,54,8,1,1,0,134420.75,1,,,,
343156112,1,3,771,Palm_Jumeirah,Two-Wheelers,36,5,1,0,0,99805.99,0,,,,
343156113,1,3,587,Al_Sayed_Road,Two-Wheelers,34,1,2,1,1,97932.68,0,,,,
343156114,1,3,681,Bur_Dubai,Two-Wheelers,79,0,2,0,1,170968.99,0,,,,
343156115,1,3,544,Palm_Jumeirah,Cars/Trucks,37,2,1,1,1,57558.95,0,,,,
343156116,1,3,696,Al_Sayed_Road,Cars/Trucks,28,8,1,0,0,176713.47,0,,,,
343156117,1,3,766,Al_Sayed_Road,Cars/Trucks,41,0,2,0,1,34283.23,0,,,,
343156118,1,3,727,Bur_Dubai,Cars/Trucks,34,10,2,1,1,198637.34,0,,,,
343156119,1,3,671,Palm_Jumeirah,Two-Wheelers,34,6,2,0,0,156917.12,0,,,,
343156120,1,3,693,Bur_Dubai,Two-Wheelers,30,6,1,1,1,50457.2,0,,,,
343156121,1,3,850,Palm_Jumeirah,Cars/Trucks,38,3,1,1,1,140075.55,0,,,,
343156122,1,3,732,Palm_Jumeirah,Cars/Trucks,42,9,2,1,1,65323.11,0,,,,
343156123,1,3,726,Al_Sayed_Road,Two-Wheelers,48,6,1,1,0,64323.24,0,,,,
343156124,1,3,557,Bur_Dubai,Two-Wheelers,32,6,2,1,0,14956.44,0,,,,
343156125,1,3,682,Bur_Dubai,Two-Wheelers,26,0,1,0,1,111879.21,0,,,,
343156126,1,3,738,Al_Sayed_Road,Cars/Trucks,31,9,1,1,1,18606.23,0,,,,
343156127,1,3,531,Al_Sayed_Road,Two-Wheelers,36,9,1,1,0,123137.01,0,,,,
343156128,1,3,498,Bur_Dubai,Cars/Trucks,34,2,2,1,1,148528.24,0,,,,
343156129,1,3,651,Bur_Dubai,Cars/Trucks,36,7,2,1,0,13898.31,0,,,,
343156130,1,3,549,Al_Sayed_Road,Two-Wheelers,39,7,1,0,0,81259.25,1,,,,
343156131,1,3,791,Palm_Jumeirah,Two-Wheelers,35,7,1,1,0,161051.75,0,,,,
343156132,1,3,650,Al_Sayed_Road,Cars/Trucks,41,9,2,0,1,191599.67,0,,,,
343156133,1,3,733,Palm_Jumeirah,Cars/Trucks,34,3,3,1,0,48559.19,1,,,,
343156134,1,3,811,Palm_Jumeirah,Two-Wheelers,34,1,2,1,1,186339.74,0,,,,
343156135,1,3,707,Bur_Dubai,Cars/Trucks,30,8,2,1,0,33159.37,0,,,,
343156136,1,3,712,Palm_Jumeirah,Cars/Trucks,28,4,1,0,1,93883.53,0,,,,
343156137,1,3,706,Al_Sayed_Road,Two-Wheelers,37,7,2,1,1,110899.3,0,,,,
